Table,Column,Display,Type,Required,Length,OptionSet,Description
pnfy_PayloadSnapshot,pnfy_channel,Channel,choice,none,,pnfy_channel,"Channel the snapshot was rendered for."
pnfy_PayloadSnapshot,pnfy_renderedsubject,Rendered Subject,text,none,400,,"Final subject after token substitution."
pnfy_PayloadSnapshot,pnfy_renderedbody,Rendered Body,memo,none,100000,,"Final body after token substitution. Field-secured and retained only when the definition opts in."
pnfy_PayloadSnapshot,pnfy_contenthash,Content Hash,text,none,128,,"Hash of the rendered content, always recorded even when the body is not retained."
pnfy_PayloadSnapshot,pnfy_retainuntil,Retain Until,datetime,none,,,"Purge boundary derived from the payload retention environment variable."
pnfy_SuppressionEntry,pnfy_messagekey,Message Key,text,none,100,,"Message key that produced this suppression entry."
pnfy_SuppressionEntry,pnfy_channel,Channel,choice,none,,pnfy_channel,"Channel the suppression applies to."
pnfy_SuppressionEntry,pnfy_recipientaddress,Recipient Address,text,none,320,,"Recipient the suppression applies to."
pnfy_SuppressionEntry,pnfy_sourcerecordid,Source Record ID,text,none,50,,"Source record the suppression applies to."
pnfy_SuppressionEntry,pnfy_windowend,Window End,datetime,required,,,"Requests matching this hash are suppressed until this moment."
